"OriginalLocation","FixedLocation","Latitude","Longitude","PlaceId"
"severna park maryland","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Hanover, MD","Hanover, Howard County, Maryland, 21076, United States","39.1928853","-76.7241371","5060254"
"Glen Burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"National Park,NJ","National Park, Gloucester County, New Jersey, 08063, United States","39.865968","-75.1796351","1670291"
"Columbia Maryland","Columbia, Howard County, Maryland, United States","39.2156213","-76.8582049","5121839"
"Glen Burnie maryland","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"CORTLAND","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Trenton Tn","Trenton, Gibson County, West Tennessee, Tennessee, 38382, United States","35.9808073","-88.9416829","321419028"
"Halethorpe","Halethorpe, Arbutus, Baltimore County, Maryland, 21227, United States","39.2398292","-76.6802471","5135536"
"Pueblo, Colorado","Pueblo, Pueblo County, Colorado, United States","38.2544472","-104.609141","317430513"
"Taneytown, MD","Taneytown, Carroll County, Maryland, 21787, United States","39.6593585","-77.1756197","5889598"
"Glen Burnie, MD","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Glen Burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"Glen burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"MD","Moldova","47.2879608","28.5670941","84853705"
"Severna Park, MD","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Westminster MD","Westminster, Carroll County, Maryland, United States","39.5751717","-76.9959168","5900690"
"Forest Hill, MD","Forest Hill, Bel Air, Harford County, Maryland, 21050, United States","39.5851063","-76.387739","5833560"
"Annapolis Md","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Baltimore  Maryland","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Wilson, NC","Wilson County, North Carolina, United States","35.7059114","-77.9175714","1277592"
"Grasonville, MD","Grasonville, Queen Anne's County, Maryland, 21638, United States","38.959396999999996","-76.1972184486028","3746171"
"Rock Spring Ga","Rock Spring, Walker County, Georgia, 30739, United States","34.8242442","-85.2427323","327736936"
"Baltimore Maryland","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Glen Burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"Gettysburg PA","Gettysburg, Adams County, Pennsylvania, 17325, United States","39.8308973","-77.231012","369484792"
"Great Lakes, IL","Great Lakes, North Chicago, Lake County, Illinois, 60088, United States","42.3093241","-87.8496551","26643916"
"Baltimore, Maryland","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Glen Burnie MD","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Pasadena,MD","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Annapolis Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Laurel, MD","Laurel, Prince George's County, Maryland, 20707, United States","39.0984317","-76.8485094","5057256"
"Ottawa, Ontario, Canada","Ottawa, Eastern Ontario, Ontario, Canada","45.4208777","-75.6901106","22394644"
"Sarasota, FL","Sarasota, Sarasota County, Florida, United States","27.3365805","-82.5308545","294701223"
"Severna Park, MD","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Pasadena Maryland","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Glen Burnie MD","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Fort Scott, Ks","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Pasadena","Pasadena, California, United States","34.1476507","-118.144155","309143218"
"Shrewsbury, Pennsylvania","Shrewsbury, York County, Pennsylvania, United States","39.7687574","-76.6796518","5864003"
"Taneytown, MD","Taneytown, Carroll County, Maryland, 21787, United States","39.6593585","-77.1756197","5889598"
"Hanover, MD","Hanover, Howard County, Maryland, 21076, United States","39.1928853","-76.7241371","5060254"
"Glen Burnie, Maryland","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Pasadena, MD","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Nashville, Tennessee","Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, United States","36.1622767","-86.7742984","323758474"
"Glen Allen, VA","Glen Allen, Henrico County, Virginia, United States","37.6659781","-77.506374","2317813"
"Westminster MD","Westminster, Carroll County, Maryland, United States","39.5751717","-76.9959168","5900690"
"Cambridge","Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, United Kingdom","52.2055314","0.1186637","172619753"
"Bellville","Bellville, Austin County, Texas, United States","29.9502253","-96.2571858","304511202"
"Mansfield Ohio","Mansfield, Richland County, Ohio, United States","40.75839","-82.5154471","25106991"
"Roosevelt, utah","Roosevelt, Duchesne County, Utah, 84066, United States","40.299403","-109.9887605","315373015"
"Severna Park, Maryland","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Pasadena, MD","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Glen burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"Glen Burnie, Maryland","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Mart, TX","Mart, McLennan County, Texas, United States","31.5423911","-96.8336015","305223633"
"Roosevelt Utah","Roosevelt, Duchesne County, Utah, 84066, United States","40.299403","-109.9887605","315373015"
"Russellville Arkansas","Russellville, Pope County, Arkansas, United States","35.2784173","-93.1337856","321491548"
"Glen Burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"York PA","York, West Market Street, Northwest Triangle, York, York County, Pennsylvania, 17402, United States","39.9624588","-76.7277218","5871058"
"Waynesboro,PA","Waynesboro, Franklin County, Pennsylvania, 17268, United States","39.7557827","-77.5776512","5888855"
"Olean, NY","City of Olean, Cattaraugus County, New York, 14760, United States","42.0775022","-78.4298248","6572977"
"Lake Wales","Lake Wales, Polk County, Florida, United States","27.9014133","-81.5859099","294807786"
"Allegany New York","Allegany County, New York, United States","42.2446061","-78.0419281","6669978"
"Olean, NY","City of Olean, Cattaraugus County, New York, 14760, United States","42.0775022","-78.4298248","6572977"
"Shinglehouse, PA","Shinglehouse, Potter County, Pennsylvania, 18748, United States","41.9636768","-78.1908437","6454540"
"Cuba, NY","Town of Cuba, Allegany County, New York, 14727, United States","42.2175668","-78.2752927","6569883"
"Cuba NY","Town of Cuba, Allegany County, New York, 14727, United States","42.2175668","-78.2752927","6569883"
"Cuba NY","Town of Cuba, Allegany County, New York, 14727, United States","42.2175668","-78.2752927","6569883"
"Bradford, PA","Bradford County, Pennsylvania, United States","41.7746685","-76.5264613","6405681"
"Glen Burnie Md","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Columbia Maryland","Columbia, Howard County, Maryland, United States","39.2156213","-76.8582049","5121839"
"Bolivar NY","Village of Bolivar, Town of Bolivar, Allegany County, New York, United States","42.0670399","-78.1669081","6665588"
"Wilkes Barre PA","Wilkes-Barre, Luzerne County, Pennsylvania, United States","41.2464824","-75.8817316","13104295"
"Sweden","Sverige","59.6749712","14.5208584","179793214"
"Wilkes Barre PA","Wilkes-Barre, Luzerne County, Pennsylvania, United States","41.2464824","-75.8817316","13104295"
"Wilkes Barre PA","Wilkes-Barre, Luzerne County, Pennsylvania, United States","41.2464824","-75.8817316","13104295"
"Portville, NY","Village of Portville, Town of Portville, Cattaraugus County, New York, United States","42.0386764","-78.3408496","6583934"
"Lexington va","Lexington, Virginia, United States","37.7840208","-79.4428157","3498109"
"Glen Burnie, MD","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Cuba, NY","Town of Cuba, Allegany County, New York, 14727, United States","42.2175668","-78.2752927","6569883"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Gambrills maryland","Gambrills, Anne Arundel County, Maryland, United States","39.0963486","-76.65490970738688","5117113"
"West Clarksville Ny","West Clarksville, Town of Clarksville, Allegany County, New York, 14786, United States","42.1281221","-78.2430688","6612360"
"Dry ridge ky","Dry Ridge, Grant County, Kentucky, United States","38.6820123","-84.5899426","325013960"
"Euharlee, Ga","Euharlee, Bartow County, Georgia, United States","34.1448193","-84.9329986","327813559"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Olean, NY","City of Olean, Cattaraugus County, New York, 14760, United States","42.0775022","-78.4298248","6572977"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Hastings","Hastings, East Sussex, England, United Kingdom","50.8553888","0.5824703","116866723"
"Westminster, MD","Westminster, Carroll County, Maryland, United States","39.5751717","-76.9959168","5900690"
"Essex, Maryland","Essex, Baltimore County, Maryland, 21221, United States","39.3075071","-76.4790355","5190383"
"Millville  NJ","Millville, Cumberland County, New Jersey, United States","39.4020593","-75.0393368","1840846"
"Olean, NY","City of Olean, Cattaraugus County, New York, 14760, United States","42.0775022","-78.4298248","6572977"
"WACO","Waco, McLennan County, Texas, United States","31.5491899","-97.1474628","305234287"
"Hastings Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Hastings Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Hastings Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Crofton, MD","Crofton, Anne Arundel County, Maryland, 21114, United States","39.0017772","-76.6874671","5141978"
"Pasadena, MD","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Baltimore,MD","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Pasadena, MD","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Pasadena, Maryland","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Stevensville MD","Stevensville, Queen Anne's County, Maryland, United States","38.97776585","-76.31893928440874","3788009"
"Baltimore md","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Nanticoke","Nanticoke, Luzerne County, Pennsylvania, 18634, United States","41.2052654","-76.0049353","13139664"
"annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Colorado","Colorado, United States","38.7251776","-105.607716","317535881"
"Hastings ne","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Gambrills, Md","Gambrills, Anne Arundel County, Maryland, United States","39.0963486","-76.65490970738688","5117113"
"Annapolis, Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"test","test, Pardi (Gotmare), Katol, Nagpur, Maharashtra, 441302, India","21.2617425","78.6305539","244837677"
"Chester, Md","Chester, Queen Anne's County, Maryland, United States","38.9753903","-76.2893991","3789432"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Millersville MD,","Millersville, Anne Arundel County, Maryland, 21054, United States","39.0595542","-76.6480219","5133364"
"Schenectady","City of Schenectady, Schenectady County, New York, 12345, United States","42.8142432","-73.9395687","10458415"
"Mineral","Mineral County, Colorado, 81130, United States","37.6584133","-106.9311267","317877417"
"Council bluffs iowa","Council Bluffs, Pottawattamie County, Iowa, United States","41.258841","-95.8519484","28362273"
"Ceres, CA","Ceres, Stanislaus County, California, United States","37.5949316","-120.9577098","310602901"
"Port Orange, Florida","Port Orange, Volusia County, Florida, United States","29.1386874","-80.9968286","291876126"
"Deltaville, VA","Deltaville, Middlesex County, Virginia, 23043, United States","37.5548568","-76.3368883","383621063"
"Deltaville, VA","Deltaville, Middlesex County, Virginia, 23043, United States","37.5548568","-76.3368883","383621063"
"Severna Park, MD","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Cambridge Md","Cambridge, Dorchester County, Maryland, 21613, United States","38.5714624","-76.0763177","3759460"
"Fort Scott Kansas","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Hamilton, Ontario Canada 🇨🇦","Hamilton, Golden Horseshoe, Ontario, Canada","43.2560802","-79.8728583","7323166"
"Urbanna, VA","Urbanna, Middlesex County, Virginia, United States","37.636275","-76.5754321","2030192"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Arnold MD","Arnold, Anne Arundel County, Maryland, 21012, United States","39.0320784","-76.5025431","5198481"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Henderson, CO","Henderson, Adams County, Colorado, 80640, United States","39.9205405","-104.8658084","317140705"
"test","test, Pardi (Gotmare), Katol, Nagpur, Maharashtra, 441302, India","21.2617425","78.6305539","244837677"
"Locust hill","Locust Hill, Franklin County, Kentucky, United States","38.1719175","-84.8023513","374966541"
"Wilkes barre,Pa","Wilkes-Barre, Luzerne County, Pennsylvania, United States","41.2464824","-75.8817316","13104295"
"Union bridge, md","Union Bridge, Carroll County, Maryland, United States","39.5684767","-77.1814707","5931564"
"Pueblo West, Colorado","Pueblo West, Pueblo County, Colorado, 81007, United States","38.3558615","-104.7112109849374","317455681"
"CALOUNDRA QLD","Caloundra, Sunshine Coast Regional, Queensland, 4551, Australia","-26.7981633","153.1354434","54476569"
"Cambridge, Maryland","Cambridge, Dorchester County, Maryland, 21613, United States","38.5714624","-76.0763177","3759460"
"Australia","Australia","-24.7761086","134.755","60037305"
"New Zealand","New Zealand / Aotearoa","-41.5000831","172.8344077","60297825"
"Australia","Australia","-24.7761086","134.755","60037305"
"Homer New York","Town of Homer, Cortland County, New York, 13077, United States","42.6370141","-76.1788174","8993769"
"Odenton MD","Odenton, Anne Arundel County, Maryland, 21112, United States","39.0897199","-76.7073534","5137552"
"Pasadena,  Maryland","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Glen Burnie, Maryland","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"norman ok","Norman, Cleveland County, Oklahoma, United States","35.2225717","-97.4394816","319377055"
"Blende, CO","Blende, Pueblo County, Colorado, 81006, United States","38.2458362","-104.5685844","317485235"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Maryland","Maryland, United States","39.5162401","-76.9382069","4511521"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"",,,,
"Md","Moldova","47.2879608","28.5670941","84853705"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Key West, FL","Key West, Monroe County, Florida, United States","24.5548262","-81.8020722","295805081"
"Edgewater, MD","Edgewater, Anne Arundel County, Maryland, United States","38.9358105","-76.55301414304145","3851707"
"Davidsonville, MD","Davidsonville, Anne Arundel County, Maryland, 21035, United States","38.9228697","-76.6277374","3864444"
"Laurel, MD","Laurel, Prince George's County, Maryland, 20707, United States","39.0984317","-76.8485094","5057256"
"Frederick MD","Frederick, Frederick County, Maryland, United States","39.415779","-77.4127562","4735960"
"California, MD","California, Lexington Park, Saint Mary's County, Maryland, 20619, United States","38.2976295","-76.5081118","379463667"
"Glen Burnie, MD","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Hiroshima","Hiroshima, Cercado, Cochabamba, Bolivia","-17.3515187","-66.1668133","36344091"
"Temple, Texas","Temple, Bell County, Texas, United States","31.108575000000002","-97.38621806681586","305203140"
"Orlando Florida","Orlando, Orange County, Florida, United States","28.5421109","-81.3790304","292037873"
"Orland Florida","Orland Drive, Temple Terrace, Hillsborough County, Florida, 33637, United States","28.034613","-82.375493","292643781"
"Orlando fl","Orlando, FL, John Young Parkway, Orlando, Orange County, Florida, 32805, United States","28.5479786","-81.41278418563017","292243531"
"Orlando Florida","Orlando, Orange County, Florida, United States","28.5421109","-81.3790304","292037873"
"Holly Springs","Holly Springs, Marshall County, Mississippi, United States","34.76801","-89.4478784","321293494"
"Orlando Florida","Orlando, Orange County, Florida, United States","28.5421109","-81.3790304","292037873"
"Dallas Texas","Dallas Texas, Rua Una, Jardim Nice, Parque João Ramalho, Capuava, Santo André, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 09291-090, Brasil","-23.6475414","-46.5101132","40522054"
